DOMAIN	CLUSTER
allin1vacations.com	C2
aluxurycars.com	C2
amazingassistedliving.com	C2
anonext.com	C2
anwswatch.com	C2
apersonalattorneys.com	C2
areputationmanagement.com	C2
arthritiscancer.com	C2
astromenda.com	C2
attractivemortgageoffers.com	C2
bestalphasearch.com	C2
bestclasslanguage.com	C2
bestofattorney.com	C2
bestofpotstocks.com	C2
bestpregnancyinfo.com	C2
bestwaterdamage.com	C2
binkiland.com	C2
bipolardisorderlab.com	C2
bladdercancerdata.com	C2
breastcancerguides.com	C2
bronchitis-info.com	C2
bsbrowsing.com	C2
businessphonestech.com	C2
carinsuranceguys.com	C2
cookiesearche.com	C2
doctopdfpro.com	C2
dogfoodsuplements.com	C2
donateunusedcars.com	C2
draccidentattorney.com	C2
dryeyestreat.com	C2
ehepatitis.com	C2
enhancedsearches.com	C2
enterpriseflights.com	C2
fairysearch.com	C2
ffsrchmgr.com	C2
filmsmania.com	C2
filmsmaniasaga.com	C2
filmzya.com	C2
flmman.com	C2
gafocas.com	C2
gamerz-land.com	C2
getdoc2pdf.com	C2
getdoctopdf.com	C2
getmortgagerefinancing.com	C2
getsportfanatics.com	C2
glassearch.com	C2
gmrlnd.com	C2
hairtransplantguides.com	C2
heartdiseaselab.com	C2
high-savings.com	C2
identitytheftweb.com	C2
igetonlinembatoday.com	C2
ilife-insurance.com	C2
insomnia-treat.com	C2
isprtsfans.com	C2
jamenize.com	C2
jointpaintreat.com	C2
junapo.com	C2
junkremovalservicecenter.com	C2
kugut.com	C2
lasaoren.com	C2
legalaccidentattorneys.com	C2
lifeinsurancequotescenter.com	C2
lungcancerguides.com	C2
luxurysuvnow.com	C2
mailzext.com	C2
mapsofficial.com	C2
medicalalarmscenter.com	C2
medicaresupplementinsuranceguide.com	C2
melanomasigns101.com	C2
midsizesuvhub.com	C2
motorantique.com	C2
myadvertisinghub.com	C2
mycar-insurance.com	C2
mydentalimplantsguide.com	C2
mydental-insurance.com	C2
myelectric-cars.com	C2
myeloma-info.com	C2
myluxurysuv.com	C2
mynextmattressguide.com	C2
mypickuptrucks.com	C2
nohupu.com	C2
nukuwusu.com	C2
ourinfohub.com	C2
pancreaticcancer101.com	C2
pancreaticcancerweb.com	C2
paydailyloans.com	C2
payprotectioninsurance.com	C2
pestcontrolprofessionalscenter.com	C2
plaquepsoriasistreat.com	C2
premsearch.com	C2
qadut.com	C2
retirementaccountsguide.com	C2
retirementplansguide.com	C2
ruhaho.com	C2
scholarshipdeals.com	C2
scurebrowsing.com	C2
searchaddres.com	C2
searchblind.com	C2
searchdinam.com	C2
searchdoop.com	C2
searchefull.com	C2
searchesart.com	C2
searchesbest.com	C2
searchescare.com	C2
searchesfit.com	C2
searcheshub.com	C2
searcheshub-classes.com	C2
searcheshub-copd.com	C2
searcheshub-cruises.com	C2
searcheshub-donate-cars.com	C2
searcheshub-hearing-aids.com	C2
searcheshub-junk-dental-insurance.com	C2
searcheshub-junk-removal.com	C2
searcheshub-mattresses.com	C2
searcheshub-medical-alerts.com	C2
searcheshub-moving.com	C2
searcheshub-pickup.com	C2
searcheshub-retirement.com	C2
searcheshub-security.com	C2
searcheshub-suv.com	C2
searchesjob.com	C2
searcheslove.com	C2
searchesmail.com	C2
searchesnews.com	C2
searchesshop.com	C2
searchexclus.com	C2
searchextrem.com	C2
searchflowed.com	C2
searchingbank.com	C2
searchingbar.com	C2
searchingblog.com	C2
searchingbrand.com	C2
searchingbuy.com	C2
searchingbuzz.com	C2
searchingcafe.com	C2
searchingcare.com	C2
searchingday.com	C2
searchingdream.com	C2
searchingeasy.com	C2
searchingfilm.com	C2
searchingfly.com	C2
searchinggames.com	C2
searchinggood.com	C2
searchinggroup.com	C2
searchinginc.com	C2
searchinglab.com	C2
searchinglive.com	C2
searchingllc.com	C2
searchingmax.com	C2
searchingnews.com	C2
searchingparty.com	C2
searchingphoto.com	C2
searchingplan.com	C2
searchingpress.com	C2
searchingrent.com	C2
searchingrock.com	C2
searchingsale.com	C2
searchingsales.com	C2
searchingshow.com	C2
searchingspace.com	C2
searchingsport.com	C2
searchingstar.com	C2
searchingstory.com	C2
searchingtax.com	C2
searchingteam.com	C2
searchingtours.com	C2
searchingtown.com	C2
searchmanagerplus.com	C2
searchmanagertech.com	C2
searchmangra.com	C2
searchmgr.com	C2
searchmgrc.com	C2
searchmgrf.com	C2
searchmgrlite.com	C2
searchmgrprem.com	C2
searchmgrr.com	C2
searchmnagr.com	C2
searchmngr.com	C2
search-mngr.com	C2
searchnon.com	C2
searchoper.com	C2
searchorde.com	C2
searchprem.com	C2
searchrfu.com	C2
searchrnd.com	C2
searchrose.com	C2
searchshopn.com	C2
searchspid.com	C2
searchtaken.com	C2
searchwrote.com	C2
search-xda.com	C2
secured-cbrw.com	C2
securedsearch.org	C2
securedserch.com	C2
secursearch.com	C2
selected-search.com	C2
sercheshub-copd.com	C2
sercheshub-cruises.com	C2
sercheshub-donate-cars.com	C2
sercheshub-hearing-aids.com	C2
sercheshub-junk-dental-insurance.com	C2
sercheshub-junk-removal.com	C2
snoringsolutions-info.com	C2
srchbar.com	C2
srchmgra.com	C2
srchmgrb.com	C2
srchmgrc.com	C2
srchmgrd.com	C2
srchmgre.com	C2
srchmgrh.com	C2
srchmgrk.com	C2
srchmgrl.com	C2
srchmgrm.com	C2
srchmgrw.com	C2
start-new-search.com	C2
supersearchmanager.com	C2
super-srch.com	C2
taplika.com	C2
thearthritisinfo.com	C2
thecashbackguide.com	C2
thecleanupservices.com	C2
thecopdcenter.com	C2
thecruiseassistant.com	C2
thedentalinsuranceguide.com	C2
thedocpdfconverter.com	C2
thedoctopdf.com	C2
thedogfleas.com	C2
theeliteattorneysguide.com	C2
thehearingaidscenter.com	C2
thehomesecuritysystemsguide.com	C2
theluxurysuvsguide.com	C2
themedicalalertsguide.com	C2
themigraineinfo.com	C2
themovingcompaniesguide.com	C2
thenewswatchers.com	C2
theonlineclassesfinder.com	C2
theprofessionalshub.com	C2
theprostatecancertreat.com	C2
thepsoriaticarthritis.com	C2
therestorationservices.com	C2
therheumatoidarthritis.com	C2
thesavingaccountsguide.com	C2
thetimesharedealscenter.com	C2
thetopbusinessloan.com	C2
thetop-cars.com	C2
topinveststock.com	C2
tryequityrelease.com	C2
trypennystock.com	C2
ultrasearchmanager.com	C2
ushepatitis.com	C2
vacationspackageguide.com	C2
vlcstreamer.com	C2
vosteran.com	C2
wagokom.com	C2
walubuho.com	C2
wonuw.com	C2
wupuf.com	C2
ysearchtab.com	C2
0115.info	Campaign_A
02movies.net	Campaign_A
0622.info	Campaign_A
1001soleils.com	Campaign_A
100news4you.info	Campaign_A
100pushup.com	Campaign_A
122gb.info	Campaign_A
123moviesfreehd.info	Campaign_A
12licai.com	Campaign_A
1881no.com	Campaign_A
1mycam.com	Campaign_A
1onlines.info	Campaign_A
300mb.info	Campaign_A
4hu.org	Campaign_A
4pics.org	Campaign_A
4shaared.com	Campaign_A
4weddings.info	Campaign_A
5chantiers.com	Campaign_A
5fan.info	Campaign_A
622lq.com	Campaign_A
6630.info	Campaign_A
69pcrepair.com	Campaign_A
8591.info	Campaign_A
89tube.com	Campaign_A
96av.com	Campaign_A
a3esseker.info	Campaign_A
abbeyhousekensington.com	Campaign_A
abercormbie.com	Campaign_A
abetka-logopedka.org	Campaign_A
abg55.info	Campaign_A
abou.info	Campaign_A
abujaper.info	Campaign_A
accelventures.com	Campaign_A
accessjpmorgan.com	Campaign_A
acebk.com	Campaign_A
acidentesdemoto.com	Campaign_A
actupv.info	Campaign_A
adatmentes.info	Campaign_A
adblocplus.org	Campaign_A
admyadotrk.info	Campaign_A
aeoutfiters.com	Campaign_A
afullspa.com	Campaign_A
agedpervert.com	Campaign_A
agfca.info	Campaign_A
ahhadesigns.info	Campaign_A
ahlulbaitindonesia.org	Campaign_A
ahsmedicare.com	Campaign_A
ainer.org	Campaign_A
airincdirect.com	Campaign_A
airsoftsoldier.com	Campaign_A
ajaxcdn.org	Campaign_A
ajka.info	Campaign_A
alexis-bellno.com	Campaign_A
alibexpress.com	Campaign_A
allswingergangbangs.com	Campaign_A
allursolve.com	Campaign_A
alsmotorhomes.com	Campaign_A
alteravista.org	Campaign_A
altjar.net	Campaign_A
amazonprincess.com	Campaign_A
amine.info	Campaign_A
amishfurnaces.com	Campaign_A
androidioshacks.info	Campaign_A
androidunderground.info	Campaign_A
anng.net	Campaign_A
antiviruspro.info	Campaign_A
antna.info	Campaign_A
aolomail.com	Campaign_A
appcleanquick.com	Campaign_A
argosoutlet.com	Campaign_A
arotracktons.info	Campaign_A
arydigital.com	Campaign_A
asdasdd.com	Campaign_A
asfzas.info	Campaign_A
asiantextilebd.com	Campaign_A
asinartisationy.info	Campaign_A
astrp.com	Campaign_A
atatt.net	Campaign_A
audiogol.com	Campaign_A
ausgovindia.com	Campaign_A
autoshiptransport.com	Campaign_A
avusturyavizesi.info	Campaign_A
awesome-prizes-only-today.info	Campaign_A
azmp3lagu.info	Campaign_A
aztrades.info	Campaign_A
b2bpirelli.com	Campaign_A
babelinks.org	Campaign_A
babymassage-apeldoorn.info	Campaign_A
backlinkcanyon.info	Campaign_A
bagiccnyabro.info	Campaign_A
baixarjogosdiretonocelular.com	Campaign_A
bajkidladzieci.org	Campaign_A
bakesalehq.com	Campaign_A
balkantrails.org	Campaign_A
balsimhill.com	Campaign_A
bangalionwimax.com	Campaign_A
banhkofamerica.com	Campaign_A
bankofamserica.com	Campaign_A
barvikha.info	Campaign_A
batiknusantara.info	Campaign_A
bcm-direct.com	Campaign_A
beautyenergyyouth.com	Campaign_A
beckersshoes.com	Campaign_A
beginninglife.com	Campaign_A
bendarks.info	Campaign_A
